MARCHE_ID,MARCHE_UID,ACHETEURS_ID,ACHETEURS_NOM,NATURE_MARCHE,MARCHE_OBJET,CPV_CODE,PROCEDURE,LIEU_EXEC_CODE,LIEU_EXEC_TYPE,LIEU_EXEC_NOM,DUREE_MOIS,NOTIFICATION_DATE,PUBLICATION_DATE,MONTANT,PRIX_FORME,TITULAIRES_ID,TITULAIRES_ID_TYPE,TITULAIRES_DENOMINATION,MODIF_OBJET,MODIF_NOTIFICATION_DATE,MODIF_PUBLICATION_DATE,MODIF_DUREE_MOIS,MODIF_MARCHE_MONTANT,MODIF_TITULAIRES_ID,MODIF_TITULAIRES_ID_TYPE,MODIF_TITULAIRES_DENOMINATION
2019M0200,217805175000152019P0200,21780517500015,Mairie de Rambouillet,marche,Balayage mecanique des voies communales et des espaces publics de la ville de rambouillet,90612000-0,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-04-19,2019-04-23,600000,ferme et actualisable,35005058900240,SIRET,Sepur SAS,,,,,,,,
2019M0300,217805175000152019M0300,21780517500015,Mairie de Rambouillet,accord-cadre,Achat de fournitures diverses pour les espaces verts lot 2 arbustes rosiers plantes grimpantes et sarmenteuses plantes dites de bruyères fruitiers coniferes de collection et de taill sup a 3 m,03451300-9,Appel d offres ouvert,78517,Code commune,Rambouillet,46,2019-04-19,2019-04-23,120000,ferme et actualisable,44368227300018,SIRET,SARL Val de Loire Productions,,,,,,,,
2019PA0900,217805175000152019PA0900,21780517500015,Mairie de Rambouillet,accord-cadre,Reprise technique des concessions et construction d ossuaire lot 1 reprise technique des concessions abandonnees,45112000-5,Procédure adaptée,78517,Code commune,Rambouillet,48,2019-04-19,2019-04-23,280000,ferme et actualisable,84421879200019,SIRET,SAS Prestations Funeraires et Marbrerie,,,,,,,,
2019PA0900,217805175000152019PA0900,21780517500015,Mairie de Rambouillet,accord-cadre,Reprise technique des concessions et construction d ossuaire lot 2 construction d ossuaire,45262522-6,Procédure adaptée,78517,Code commune,Rambouillet,48,2019-04-19,2019-04-23,60000,ferme et actualisable,54207679900148,SIRET,PFG Rambouillet SA,,,,,,,,
2019PA0500,217805175000152019PA0500,21780517500015,Mairie de Rambouillet,accord-cadre,Reservation de berceaux dans des structures d accueil de la petite enfance,85312110-3,Procédure adaptée,78517,Code commune,Rambouillet,48,2019-04-23,2019-04-24,1162512,ferme,49126628400034,SIRET,SARL Mes Premiers Pas Lulu Pistache,,,,,,,,
2019PA1200,217805175000152019PA1200,21780517500015,Mairie de Rambouillet,marche,Location avec maintenance d une balayeuse de 4 m3 sans chauffeur,34144431,Procédure adaptée,78517,Code commune,Rambouillet,48,2019-04-30,2019-05-02,167760,ferme,39890731100045,SIRET,SAS SAML,,,,,,,,
2019PA1500,217805175000152019PA1500,21780517500015,Mairie de Rambouillet,marche,Mission d ordonnancement de pilotage et de coordination de chantier pour la realisation d un clae centre de loisirs associe a l ecole et la restructuration du service de restauration des ecoles maternelle et elementaire clairbois,71240000-2,Procédure adaptée,78517,Code commune,Rambouillet,30,2019-06-14,2019-06-14,29484,ferme actualisable,43237878400016,SIRET,CRX Centre SARL,,,,,,,,
2019M0400,217805175000152019M0400,21780517500015,Mairie de Rambouillet,accord-cadre,Achat et livraison de carburants,09134000,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-06-20,2019-06-20,720000,ferme actualisable,8608039700085,SIRET,Caldeo SAS,,,,,,,,
2019PA1300,217805175000152019PA1300,21780517500015,Mairie de Rambouillet,accord-cadre,Travaux d entretien de reparation et d amenagement des batiments et equipements communaux lot 1 terrassement demolition gros œuvre et maconnerie,45262522-6,Procédure adaptée,78517,Code commune,Rambouillet,36,2019-06-24,2019-06-24,1200000,ferme actualisable,30966237700022,SIRET,Entreprise Deotto SAS,,,,,,,,
2019PA1300,217805175000152019PA1300,21780517500015,Mairie de Rambouillet,accord-cadre,Travaux d entretien de reparation et d amenagement des batiments et equipements communaux lot 2 cloisons platrerie isolation,45421152-4,Procédure adaptée,78517,Code commune,Rambouillet,36,2019-06-24,2019-06-24,750000,ferme actualisable,33292118800022,SIRET,Sarl Slat,,,,,,,,
2019PA1300,217805175000152019PA1300,21780517500015,Mairie de Rambouillet,accord-cadre,Travaux d entretien de reparation et d amenagement des batiments et equipements communaux lot 3 menuiseries bois,45421000-4,Procédure adaptée,78517,Code commune,Rambouillet,36,2019-06-24,2019-06-24,1425000,ferme actualisable,52284772200025,SIRET,Les Etablissements Giffard sas,,,,,,,,
2019PA1300,217805175000152019PA1300,21780517500015,Mairie de Rambouillet,accord-cadre,Travaux d entretien de reparation et d amenagement des batiments et equipements communaux lot 4 peinture revetements colles et revetements de sols,44111400-5,Procédure adaptée,78517,Code commune,Rambouillet,36,2019-06-24,2019-06-24,1500000,ferme actualisable,35402309500038,SIRET,Sarl DLM Decor,,,,,,,,
2019PA0600,217805175000152019PA0600,21780517500015,Mairie de Rambouillet,accord-cadre,Conception et mise en page des supports d information rambouillet infos et ramboscope,79822500-7,Procédure adaptée,78517,Code commune,Rambouillet,48,2019-06-27,2019-06-27,220000,ferme actualisable,38031788300045,SIRET,Cafe Noir SARL,,,,,,,,
2019PA0800,217805175000152019PA0800,21780517500015,Mairie de Rambouillet,marche,Acquisition de vehicules lot 1 acquisition d un vehicule neuf places,34100000-8,Procédure adaptée,78517,Code commune,Rambouillet,2,2019-07-02,2019-07-02,20017,ferme,49344587800041,SIRET,Trujas SAS,,,,,,,,
2019PA0800,217805175000152019PA0800,21780517500015,Mairie de Rambouillet,marche,Acquisition de vehicules lot 2 acquisition de deux vehicules de tourisme,34100000-8,Procédure adaptée,78517,Code commune,Rambouillet,1,2019-07-02,2019-07-02,19221,ferme,49344587800041,SIRET,Trujas SAS,,,,,,,,
2019PA0800,217805175000152019PA0800,21780517500015,Mairie de Rambouillet,marche,Acquisition de vehicules lot 3 acquisition de quatre vehicules utilitaires et un caisson plus un caisson,34100000-8,Procédure adaptée,78517,Code commune,Rambouillet,6,2019-07-02,2019-07-02,138380,ferme,61980394300015,SIRET,Societe MAM SARL,,,,,,,,
2019PA1900,217805175000152019PA1900,21780517500015,Mairie de Rambouillet,marche,Fourniture et livraison de bacs en acier corten,16160000-4,Procédure adaptée,78517,Code commune,Rambouillet,3,2019-07-08,2019-07-08,54750,ferme,33970714300022,SIRET,Atech SAS,,,,,,,,
2019PA1400,217805175000152019PA1400,21780517500015,Mairie de Rambouillet,marche,Amenagement des locaux du pole famille lot 1 demolition cloisons menuiseries interieures,45111100-9,Procédure adaptée,78517,Code commune,Rambouillet,10,2019-07-10,2019-07-10,"91591,81",ferme actualisable,30966237700022,SIRET,Entreprise Deotto SAS,,,,,,,,
2019PA1400,217805175000152019PA1400,21780517500015,Mairie de Rambouillet,marche,Amenagement des locaux du pole famille lot 2 peinture revetement de sol,44810000-1,Procédure adaptée,78517,Code commune,Rambouillet,10,2019-07-10,2019-07-10,34650,ferme actualisable,42859442800032,SIRET,Les Peintures Parisiennes SAS,,,,,,,,
2019PA0300,217805175000152019PA0300,21780517500015,Mairie de Rambouillet,accord-cadre,Travaux de marquage routier,45233221-4,Procédure adaptée,78517,Code commune,Rambouillet,48,2019-07-19,2019-07-19,1600000,ferme actualisable,39106472200047,SIRET,JCB Signalisation SASU,,,,,,,,
2019PA1800,217805175000152019PA1800,21780517500015,Mairie de Rambouillet,marche,Rehabilitation et automatisation des systemes de vannage de quatre etangs,45240000-1,Procédure adaptée,78517,Code commune,Rambouillet,3,2019-07-19,2019-07-19,866200,ferme,33505124900084,SIRET,Parenge SAS,,,,,,,,
2019PA0100,217805175000152019PA0100,21780517500015,Mairie de Rambouillet,marche,Restauration du pavillon du verger lot 1 maconnerie pierre de taille platrerie,45262500-4,Procédure adaptée,78517,Code commune,Rambouillet,15,2019-10-04,201-10-04,247000,révisable,95720247600025,SIRET,Dubocq SAS,,,,,,,,
2019PA0100,217805175000152019PA0100,21780517500015,Mairie de Rambouillet,marche,Restauration du pavillon du verger lot 2 menuiserie serrurerie peinture,45421000-4,Procédure adaptée,78517,Code commune,Rambouillet,15,2019-10-04,201-10-04,73953,révisable,42445830500028,SIRET,SAS Les Ateliers Aubert Labansat,,,,,,,,
2019PA0100,217805175000152019PA0100,21780517500015,Mairie de Rambouillet,marche,Restauration du pavillon du verger lot 3 charpente couverture,45261100-5,Procédure adaptée,78517,Code commune,Rambouillet,15,2019-10-04,201-10-04,"73114,19",révisable,83695003000038,SIRET,Placier SAS,,,,,,,,
2019PA0100,217805175000152019PA0100,21780517500015,Mairie de Rambouillet,marche,Restauration du pavillon du verger lot 4 restauration des decors interieurs,45451000-3,Procédure adaptée,78517,Code commune,Rambouillet,15,2019-10-04,201-10-04,115870,révisable,45315155700023,SIRET,Atelier de Ricou SARL,,,,,,,,
2019PA2000,217805175000152019PA2000,21780517500015,Mairie de Rambouillet,marche,Restauration des croisees de la salle du conseil de l hotel de ville a rambouillet lot 1 menuiserie bois,45421000-4,Procédure adaptée,78517,Code commune,Rambouillet,4,2019-10-07,2019-10-07,76970,ferme actualisable,64980036400022,SIRET,SARL Goullard,,,,,,,,
2019PA1600,217805175000152019PA1600,21780517500015,Mairie de Rambouillet,marche,Location et installation d une patinoire glace mobile,92622000-7,Procédure adaptée,78517,Code commune,Rambouillet,2,2019-10-14,2019-10-14,64351,ferme,42514427600044,SIRET,Synerglace SAS,,,,,,,,
2019PA2100,217805175000152019PA2100,21780517500015,Mairie de Rambouillet,accord-cadre,Fourniture de couches jetables poru les etablissements Petite Enfance municipaux,33771200-7,Procédure adaptée,78517,Code commune,Rambouillet,48,2019-10-15,2019-10-15,80000,ferme actualisable,34795633600015,SIRET,Laboratoire Rivadis SAS,,,,,,,,
2019PA2600,217805175000152019PA2600,21780517500015,Mairie de Rambouillet,accord-cadre,Controles des installations d assainissement non domestiques et assimiles,71630000-3,Marché négocié,78517,Code commune,Rambouillet,24,2019-12-09,2019-12-09,200000,ferme actualisable,38252256300040,SIRET,SAS Poludiag,,,,,,,,
2019M0100,217805175000152019M0100,21780517500015,Mairie de Rambouillet,accord-cadre,Impression de divers supports de communication,79810000-5,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-12-16,2019-12-17,1000000,ferme actualisable,35166703500114,SIRET,Groupe des Imprimeries Morault - Imprimerie de Compiegne SAS,,,,,,,,
2019M0500,217805175000152019M0500,21780517500015,Mairie de Rambouillet,accord-cadre,Location avec maintenance de copieurs multifonctions et d un logiciel de gestion de parc,30121100-4,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-12-16,2019-12-17,400000,ferme actualisable,33332163600495,SIRET,Sharp Business Systems France SAS,,,,,,,,
