nomAttribuant	idAttribuant	dateConvention	referenceDecision	nomBeneficiaire	idBeneficiaire	objet	montant	nature	conditionsVersement	datesPeriodeVersement	idRAE	notificationUE	pourcentageSubvention
Agglomération Montargoise	24450020300090	2018-03-30	2018-91	AIJAM - MISSION LOCALE 		Attribution d'une subvention a l'AIJAM mission locale et autorisation a monsieur le présdient de signer la convention afférente exercice 2018	44600	aide en numéraire	un seul versement	2018-11-27		non	1
Agglomération Montargoise	24450020300090	2018-06-25	2018-201	MAIRIE DE MONTARGIS 		Contribution de l'Agglomération Montargoise à l'organisation du comice agricole	60000	aide en numéraire	un seul versement	2018-07-31		non	1
Agglomération Montargoise	24450020300090		2018-95	CFA EST LOIRET 		Financement du CFA Est Loiret (centre de formation des Apprentis) exercice 2018	132430	aide en numéraire	un seul versement	2018-04-13		non	1
"Agglomération Montargoise	24450020300090	2019-02-22	19-19	LES ROUES DANS L'AME 		""Attribution d'une subvention à l'association """"les roues dans l'AME pour l'organisation de l'étape à Cepoy du Paris-Nuice 2019""	24000	aide en numéraire	un seul versement	2019-02-27		non	1"
Agglomération Montargoise	24450020300090	2019-01-02	19-96	INITIATIVE LOIRET 		Attribution d'une subvention a initiative loiret exercice 2019	25686	aide en numéraire	un seul versement	2019-04-17		non	1
Agglomération Montargoise	24450020300090	2019-10-01	19-226	IMANIS 		Attribution d'une subvention a l'assoication Imanis dans le cadre de son activité d'accueil de jour au titre de l'année 2019 et autorisation à M. Le Président de signer la convention afférente 	26000	aide en numéraire	un seul versement	2019-10-30		non	1
"Agglomération Montargoise	24450020300090	2019-04-01	19-90	PIMMS DU PLATEAU 		""Attribution d'une subvention à l'association """"Pimms du plateau et autorisation à M. Le Président de signer la convention afférente""	28000	aide en numéraire	un seul versement	2019-04-30		non	1"
Agglomération Montargoise	24450020300090		19-89	MAIRIE DE MONTARGIS 		Attribution d'une subvention à la commune de Montargis pour la location d'une Patinoire temporaire hivers 2018-2019	30000	aide en numéraire	un seul versement	2019-04-29		non	1
Agglomération Montargoise	24450020300090		19-259	MAIRIE DE CHALETTE SUR LOING 		Autorisaà M. le Président de verser un fond de concours à la commune de Châlette sur loing  pour l'acquisition des ouvrages de la médiathèque relais	32850	aide en numéraire	un seul versement	2020-01-13		non	1
Agglomération Montargoise	24450020300090	2017-12-28	18-321	OFFICE DU TOURISME 		Autorisation à M. Président de signer la nouvelle convention avec l'office de tourisme de l'Agglomération Montargoise Période 2018-2020- Avance de trésorerie 	33750	aide en numéraire	Echelonné	2019-01-15		non	1
Agglomération Montargoise	24450020300090	2017-12-28	19-92	OFFICE DU TOURISME 		Autorisation à M. Président de signer la nouvelle convention avec l'office de tourisme de l'Agglomération Montargoise Période 2018-2020- Avance de trésorerie 	33750	aide en numéraire	Echelonné	2019-04-24		non	1
Agglomération Montargoise	24450020300090	2017-12-28	19-92	OFFICE DU TOURISME 		Autorisation à M. Président de signer la nouvelle convention avec l'office de tourisme de l'Agglomération Montargoise Période 2018-2020- Avance de trésorerie 	33750	aide en numéraire	Echelonné	2019-06-27		non	1
Agglomération Montargoise	24450020300090	2017-12-28	19-92	OFFICE DU TOURISME 		Autorisation à M. Président de signer la nouvelle convention avec l'office de tourisme de l'Agglomération Montargoise Période 2018-2020- Avance de trésorerie 	33750	aide en numéraire	Echelonné	2019-09-23		non	1
Agglomération Montargoise	24450020300090		19-82	CCAS DE MONTARGIS 		contribution au centre de planification et d'Education familiale 2019	35000	aide en numéraire	un seul versement	2019-05-03		non	1
"Agglomération Montargoise	24450020300090	2019-07-29	19-157	UNION DES COMMERCANTS DE MONTARGIS		autorisation à M. le Présidente de signer la convention, le règlement intérieur et de verser la subvention afférente dans le cadre du FISAC - Exercice 2019	37000	aide en numéraire	un seul versement	2019-08-09		non	1"
"Agglomération Montargoise	24450020300090	2019-07-29	19-157	UNION DES COMMERCANTS DE MONTARGIS		autorisation à M. le Présidente de signer la convention, le règlement intérieur et de verser la subvention afférente dans le cadre du FISAC - Exercice 2019	37000	aide en numéraire	un seul versement	2019-07-25		non	1"
"Agglomération Montargoise	24450020300090	2019-07-29	19-157	UNION DES COMMERCANTS DE MONTARGIS		autorisation à M. le Présidente de signer la convention, le règlement intérieur et de verser la subvention afférente dans le cadre du FISAC - Exercice 2019	37000	aide en numéraire	un seul versement	2019-09-23		non	1"
Agglomération Montargoise	24450020300090	2019-04-02	19-91	AIJAM - MISSION LOCALE 		Attribution d'une subvention a l'AIJAM Mission locale et autorisation à M. le Président de signer la convention afférente exercice 2019	45000	aide en numéraire	un seul versement	2019-05-28		non	1
Agglomération Montargoise	24450020300090		19-258	MAIRIE AMILLY 		Autorisaà M. le Président de verser un fond de concours à la commune d'Amilly pour l'acquisition des ouvrages de la médiathèque relais	57150	aide en numéraire	un seul versement	2020-01-13		non	1
Agglomération Montargoise	24450020300090		19-257	MAIRIE AMILLY 		Autorisation à M.  Le Président de verser un fonds de concours à la commune d'Amilly pour l'établissement puiblic de coopération culturellle (EPCC) des Tanneries	150000	aide en numéraire	un seul versement	2019-12-17		non	1
Agglomération Montargoise	24450020300090	2019-01-02	20-43	INITIATIVE LOIRET 		Attribution d'une subvention à initiative loiret - exercice 2020	25686	aide en numéraire	un seul versement 	2020-02-26		non	1
Agglomération Montargoise	24450020300090	2020-09-10	20-205	IMANIS 		Attribution d'une subvention à l'association Imanis dans le cadre de son activité d'accueil de jour au titre de l'année 2020 et autorisation à M. le Président à signer la convention afférente 	26000	aide en numéraire	un seul versement 	2020-10-23		non	1
"Agglomération Montargoise	24450020300090	2020-02-10	20-35	PIMMS DU PLATEAU 		""Attribution d'une subvention à l'association """"PIMMS du plateau et autorisation à M. le Président de signer la convneion afférente""	28000	aide en numéraire	un seul versement 	2020-05-14		non	1"
Agglomération Montargoise	24450020300090	2020-09-14	20-211	COMMUNAUTÉ DE COMMUNES CANAUX ET FORET EN GATINAIS		Convention de partenariat financier enctre la communauté de commune canaux et foret en Gatinais et l'AME concernant la réouverture de l'arboretum des barres au public	30000	aide en numéraire	un seul versement 	2020-10-15		non	1
Agglomération Montargoise	24450020300090		20-34	MAIRIE DE MONTARGIS 		Contribution à la commune de Montargis pour la location d'une patinoire temporaire hiver 2019-2020	30000	aide en numéraire	un seul versement 	2020-02-18		non	1
Agglomération Montargoise	24450020300090		19-293	OFFICE DU TOURISME 		avance de trésorerie 2020 - subvention à l'office de tourisme de l'Agglomération Montargoise	33750	aide en numéraire	Echelonné	2020-01-09		non	1
Agglomération Montargoise	24450020300090	2017-12-28	20-36	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire à l'office de tourisme exercice 2020	33750	aide en numéraire	Echelonné	2020-02-25		non	1
Agglomération Montargoise	24450020300090		20-36	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire à l'office de tourisme exercice 2020	33750	aide en numéraire	Echelonné	2020-02-25		non	1
Agglomération Montargoise	24450020300090		20-36	OFFICE DU TOURISME 		Attribution d'une subvention ordinaire à l'office de tourisme exercice 2020	33750	aide en numéraire	Echelonné	2020-03-30		non	1
Agglomération Montargoise	24450020300090		20-27	CCAS DE MONTARGIS 		contribution au centre de planification et d'éducation familiale 2020	35000	aide en numéraire	un seul versement 	2020-03-12		non	1
Agglomération Montargoise	24450020300090	2020-02-06	20-39	AIJAM - MISSION LOCALE 		Attribution d'une subvention à l'AIJAM Mission locale et autorisation à M. le Président de signer la convention afférente exercice 2020	45000	aide en numéraire	un seul versement 	2020-10-21		non	1
Agglomération Montargoise	24450020300090	2012-05-25	19-294	COS DE L AME		Subvention au comité social des œuvres de l'Ame exercice 2020	47570	aide en numéraire	Echelonné	2020-01-09		non	1
"Agglomération Montargoise	24450020300090	2020-02-10	20-30	LES ROUES DANS L'AME 		""Attribution d'une subvention à l'association """"les roues dans l'amepour l'organisation de l'arrivée et de départ à Chalette sur loing du du Pais Nice 2020""	67200	aide en numéraire	un seul versement 	2020-03-04		non	1"
